Album,Artist,Song,Year
1980 The Music,Air Supply,All Out Of Love,80
1980 The Music,Australian Crawl,The Boys Light Up,80
1980 The Music,Bette Midler,The Rose,80
1980 The Music,Christopher Cross,Ride Like The Wind,80
1980 The Music,Cold Chisel,Cheap Wine,80
1980 The Music,Darryl Cotton,Same Old Girl,80
1980 The Music,Dexys Midnight Runners,Geno,80
1980 The Music,Fern Kinney,Together We Are Beautiful,80
1980 The Music,Gary Numan,We Are Glass,80
1980 The Music,Kim Hart,Love At First Night,80
1980 The Music,Linda Ronstadt,How Do I Make You,80
1980 The Music,Long John Baldry,You've Lost That Lovin' Feelin',80
1980 The Music,Queen,Crazy Little Thing Called Love,80
1980 The Music,Rocky Burnette,Tired Of Toein' The Line,80
1980 The Music,Spinners,Working My Way Back To You,80
1980 The Music,The Motels,Total Control,80
1980 The Music,The Pretenders,Brass In Pocket,80
1980 The Music,The Vapors,Turning Japanese,80
1980 The Summer,AC/DC,You Shook Me All Night Long,80
1980 The Summer,Australian Crawl,Downhearted,80
1980 The Summer,Cliff Richard,Dreamin',80
1980 The Summer,Diana Ross,Upside Down,80
1980 The Summer,Fischer-Z,So Long,80
1980 The Summer,Flowers,Can't Help Myself,80
1980 The Summer,James Freud,Modern Girl,80
1980 The Summer,Jermaine Jackson,Let's Get Serious,80
1980 The Summer,John Farnham,Help,80
1980 The Summer,Kate Bush,Babooshka,80
1980 The Summer,Kim Carnes,More Love,80
1980 The Summer,Leo Sayer,More Than I Can Say,80
1980 The Summer,Martha & The Muffins,Echo Beach,80
1980 The Summer,Pat Benatar,We Live For Love,80
1980 The Summer,Rocky Burnette,Fallin' In Love,80
1980 The Summer,The Korgis,Everybody's Got To Learn Sometime,80
1980 The Summer,The Monitors,Singing In The 80's,80
1980 The Summer,The Motels,Whose Problem?,80
Red Alert,Con Funk Shun,Spirit Of Love,80
Red Alert,Elton John,Are You Ready For Love,80
Red Alert,Festival,Don't Cry For Me Argentina,80
Red Alert,France Joli,Come To Me,80
Red Alert,Genghis Khan,Moscow,80
Red Alert,Gloria Gaynor,Never Can Say Goodbye,80
Red Alert,Isaac Hayes,Don't Let Go,80
Red Alert,Kiss,I Was Made For Lovin' You,80
Red Alert,Lipps Inc,Funkytown,80
Red Alert,Lipps Inc,Rock It,80
Red Alert,Meco,Empire Strikes Back,80
Red Alert,Silicon Teens,Red River Rock,80
Red Alert,Skatt Bros,Life At The Outpost,80
Red Alert,Skatt Bros,Walk The Night,80
Red Alert,Sugarhill Gang,Rapper's Delight,80
Red Alert,Village People,Ready For The 80's,80
Starcall Presents,Abba,The Winner Takes It All,80
Starcall Presents,Bruce Cockburn,Wondering Where The Lions Are,80
Starcall Presents,Carolyn Mas,Still Sane,80
Starcall Presents,Dugites,In Your Car,80
Starcall Presents,Elton John,Little Jeannie,80
Starcall Presents,Fiddler's Dram,Day Trip To Bangor,80
Starcall Presents,Genghis Khan,Moscow,80
Starcall Presents,Hall & Oates,Portable Radio,80
Starcall Presents,Jon English,Little By Little,80
Starcall Presents,Judi Tzuke,Stay With Me Till Dawn,80
Starcall Presents,Kiss,Shandi,80
Starcall Presents,Ol '55,Two Faces Have I,80
Starcall Presents,Status Quo,Whatever You Want,80
Starcall Presents,The Innocents,Sooner Or Later,80
Starcall Presents,The Numbers,Five Letter Word,80
Starcall Presents,The Reels,After The News,80
Starcall Presents,The Tourists,I Only Want To Be With You,80
Starcall Presents,Viola Wills,Gonna Get Along Without You Now,80
1981 Over The Top,Billy Field,You Weren't In Love With Me,81
1981 Over The Top,Billy Squier,The Stroke,81
1981 Over The Top,Dave Stewart,What Becomes Of The Broken Hearted,81
1981 Over The Top,Devo,Beautiful World,81
1981 Over The Top,Divinyls,Boys In Town,81
1981 Over The Top,Icehouse,Love In Motion,81
1981 Over The Top,Jona Lewie,Louise (We Get It Right),81
1981 Over The Top,Juice Newton,Queen Of Hearts,81
1981 Over The Top,Kim Wilde,Chequered Love,81
1981 Over The Top,Little River Band,The Night Owls,81
1981 Over The Top,Mental As Anything,Too Many Times,81
1981 Over The Top,Mondo Rock,Chemistry,81
1981 Over The Top,Olivia Newton-John,Physical,81
1981 Over The Top,Pat Benatar,Fire And Ice,81
1981 Over The Top,PH.D,I Won't Let You Down,81
1981 Over The Top,Rick Springfield,I've Done Everything For You,81
1981 Over The Top,Stevie Nicks with Tom Petty & The Heartbreakers,Stop Dragging My Heart Around,81
1981 Over The Top,Swanee,If I Were A Carpenter,81
1981 Rocks On,Air Supply,The One That You Love,81
1981 Rocks On,Australian Crawl,Things Don't Seem,81
1981 Rocks On,Duran Duran,Planet Earth,81
1981 Rocks On,Gary U.S. Bonds,This Little Girl,81
